number,name,about,okruh,
73,Матіяш Мирослав Іванович,,№ 6 Калуський район (Новицький в.о. № 74),
74,Мацкула Михайло Богдановичі,,№7 Коломийський район (Отинійський в.о. № 75),
75,Машталер Володимир Петрович,,№ 18 м. Коломия (Коломийський в.о. № 32),
76,Медвідь Юрій Миколайович,,№ 13 Тисменицький район (Тисменицький в.о.№ 126),
77,Мелінишин Богдан Дмитрович,,№ 10 Рогатинський район (Пуківський в.о. №110),
78,Михайлів Любомир Львович,,№ 11 Рожнятівський район (Рожнятівський в.о. № 112),
79,Мохорук Дмитро Іванович,,№ 12 Снятинський район (Снятинський в.о.№ 119),
80,Никифорук Володимир Михайлович,,№ 4 Городенківський район (Раковецький в. о. № 56),
81,Озарко Олег Іванович,,№ 15 м. Івано-Франківськ (Івано-Франківський вдх № 13),
82,Онисько Василь Іванович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о.№ 16),
83,Осадчук Петро Васильович,,№ 12 Снятинський район (Заболотівський в.о. № 120),
84,Остап’як Михайло-Зіновій Михайлович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 15),
85,Остап’як Роман Михайлович,,№ 10 Рогатинський район (Букачівський в.о. № 106),
86,Паньків Микола Петрович,,№9 Надвірнянський район (Битківський в.о. № 97),
87,Пасічник Володимир Дмитрович,,№ 11 Рожнятівський район (Спаський в.о. № 117),
88,Пелипейко Ігор Аполлонович,,№8 Косівський район (Вербовецький в.о. № 88),
89,Перлюк Микола Миколайович,,№7 Коломийський район (Нижньовербізький в.о. № 80),
90,Петраш Іван Миколайович,,№2 Верховинський район (Верхньоясенівський в.о.№ 43),
91,Петрів Михайло Петрович,,№8 Косівський район (Космацький в.о. № 89),
92,Пониполяк Петро Михайлович,,№2 Верховинський район (Яблуницький в.о. № 45),
93,Попадюк Василь Михайлович,,№7 Коломийський район (Корницький в.о. № 78),
94,Попадюк Мирослав Петрович,,№ 12 Снятинський район (Балинцівський в.о. №121),
95,Попович Ігор Дмитрович,,№1 Богородчанський район (Марківський в. о. № 38),
96,Потятинник Василь Федорович,,№7 Коломийський район (Товмачицький в.о. № 83),
97,Пригорницький Володимир Васильович,,№2 Верховинський район (Верховинський в.о. № 42),
98,Путько Орест Антонович,,№ 14 Тлумацький район (Олешанський в.о. № 140),
99,Радиш Богдан Ілліч,,№8 Косівський район (Рожнівський в.о. № 92),
100,Ребрик Богдан Васильович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 9),
101,Рекетчук Орест Павлович,,№ 19 м. Яремче (Яремчанський в.о. № 33),
102,Ріпецька Лідія Володимирівна,,№ 18 м. Коломия (Коломийський в.о. № 29),
103,Рожко Ігор Володимирович,,№ 11 Рожнятівський район (Вербівський в.о. № 115),
104,Рокетський Богдан Дмитрович,,№ 13 Тисменицький район (Липівський в.о. № 130),
105,Романишин Дмитро Іванович,,№9 Надвірнянський район (Надвірнянський в.о. № 96),
106,Романюк Ярослав Іванович,,№ 12 Снятинський район (Горішньозалучанський в.о.№123),
107,Сабан Мар’ян Миколайович,,№ 5 Долинський район (Тростянецький в.о. № 67),
108,Савчук Микола Васильович,,№7 Коломийський район (Великоключівський в.о. № 77),
109,Сахній Ігор Степанович,,№3 Галицький район (Деліївський в.о. № 50),
110,Семенюк Оксана Степанівна,,№7 Коломийський район (Коршівський в.о. № 79),
111,Сергійчук Петро Васильович,,№1 Богородчанський район (Солотвинський в.о. № 36),
112,Симотюк Іван Дмитрович,,№ 18 м. Коломия (Коломийський в.о. № 31),
113,Сікора Богдан Степанович,,№ 11 Рожнятівський район (Ценявський в.о. № 118),
114,Сімків Ігор Тарасович,,№ 6 Калуський район (Войнилівський в.о. № 69),
115,Скрипничук Василь Михайлович,,№9 Надвірнянський район (Зеленський в.о. № 102),
116,Смицнюк Орест Богданович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 10),
117,Сорокових Катерина Ярославівна,,№1 Богородчанський район (Яблунський в. о. № 41),
