number,name,about,okruh
1,Абрам Богдан Федорович,,№ 11 Рожнятівський район
2,Андрейчук Микола Юрійович,,№9 Надвірнянський район
3,Андрух Володимир Степанович,,№ 5 Долинський район
4,Арабчук Ярослав Ілліч,,№ 16 м. Болехів
5,Артим Василь Іванович,,№ 14 Тлумацький район
6,Бабій Ольга Михайлівна,,№ 19 м. Яремче
7,Балабаник Степан Васильович,,№7 Коломийський район
8,Банах Ігор Романович,,№ 16 м. Болехів
9,Білоус Володимир Михайлович,,№ 10 Рогатинський район
10,Білоус Любомир Йосипович,,№ 6 Калуський район
11,Бойдуник Володимир Йосипович,,№ 17 м. Калуш
12,Бойчук Ігор Васильович,,№ 15 м. Івано-Франківськ
13,Боринський Микола Миколайович,,№8 Косівський район
14,Брус Василь Хомич,,№1 Богородчанський район
15,Васильків Зіновій Володимирович,,№ 11 Рожнятівський район
16,Ватаманюк Дмитро Михайлович,,№2 Верховинський район
17,Винник Михайло Іванович,,№ 10 Рогатинський район
18,Витвицький Зіновій Іванович,,№ 16 м. Болехів
19,Вівчарик Василь Петрович,,№7 Коломийський район
20,Воробець Мирон Йосипович,,№ 5 Долинський район
21,Гдичинський Богдан Петрович,,№ 18 м. Коломия
22,Герелюк Ольга Василівна,,№7 Коломийський район
23,Гладуняк Дмитро Васильович,,№7 Коломийський район
24,Гончарук Роман Дмитрович,,№9 Надвірнянський район
25,Горецький Ігор Богданович,,№ 18 м. Коломия
26,Грабець Любомир Омелянович,,№ 18 м. Коломия
27,Гранішак Михайло Іванович,,№ 4 Городенківський район
28,Гринишин Василь Васильович,,№ 13 Тисменицький район
29,Громко Ярослав Андрійович,,№3 Галицький район
30,Гулянич Микола Степанович,,№ 11 Рожнятівський район
31,Гуменюк Василь Васильович,,№ 19 м. Яремче
32,Давидюк Микола Федорович,,№ 6 Калуський район
33,Данилюк Михайло Іванович,,№8 Косівський район
34,Джура Олександр Дмитрович,,№3 Галицький район
35,Дзвінчук Дмитро Іванович,,№8 Косівський район
36,Завірач Василь Петрович,,№3 Галицький район
37,Заграновський Ілля Васильович,,№ 12 Снятинський район
38,Запухляк Михайло Володимирович,,№ 13 Тисменицький район
39,Захарія Роман Прокопович,,№ 17 м. Калуш
40,Іванишин Василь Олексійович,,№ 6 Калуський район
41,Івасишин Григорій Михайлович,,№3 Галицький район
42,Ілійчук Михайло Миколайович,,№2 Верховинський район
43,Калуцький Іван Федорович,,№ 16 м. Болехів
44,Качур Роман Іванович,,№ 15 м. Івано-Франківськ
45,Кінаш Михайло Васильович,,№ 19 м. Яремче
46,Ковалів Олександр Іванович,,№ 12 Снятинський район
47,Коваль Ігор Михайлович,,№3 Галицький район
48,Костик Зіновій Михайлович,,№9 Надвірнянський район
49,Крижанівський Євстахій Іванович,,№ 15 м. Івано-Франківськ
50,Кулешір Степан Юрійович,,№8 Косівський район
51,Кулик Галина Василівна,,№9 Надвірнянський район
52,Курганевич Іван Іванович,,№ 4 Городенківський район
53,Куриш Ганна Михайлівна,,№ 4 Городенківський район
54,Кучма Ігор Орестович,,№ 18 м. Коломия
55,Кушлик Олег Дем’янович,,№ 17 м. Калуш
56,Ладовський Микола Васильович,,№ 12 Снятинський район
57,Лелет Ярослав Іванович,,№2 Верховинський район
58,Лесюк Микола Петрович,,№ 15 м. Івано-Франківськ
59,Лучко Богдан Миколайович,,№ 6 Калуський район
60,Любко Андрій Романович,,№ 5 Долинський район
61,Манюх Юрій Мирославович,,№1 Богородчанський район
62,Митник Зіновій Миколайович,,№ 18 м. Коломия
63,Негрич Михайло Михайлович,,№7 Коломийський район
64,Окрепкий Степан Степанович,,№ 10 Рогатинський район
65,Олійник Ігор Мирославович,,№ 15 м. Івано-Франківськ
66,Олінійчук Микола Дмитрович,,№ 4 Городенківський район
67,Остап’як Роман Михайлович,,№ 10 Рогатинський район
68,Паньків Ярослав Федорович,,№ 17 м. Калуш
69,Парфан Іван Степанович,,№1 Богородчанський район
70,Петрина Мирон Іванович,,№ 11 Рожнятівський район
71,Підлетейчук Іван Володимирович,,№8 Косівський район
72,Полюляк Степан Васильович,,№ 5 Долинський район
73,Попівняк Михайло Іванович,,№ 11 Рожнятівський район
74,Притулінський Степан Петрович,,№2 Верховинський район
75,Прокопів Микола Миколайович,,№ 6 Калуський район
76,Римарчук Іван Васильович,,№ 10 Рогатинський район
77,Романів Петро Іванович,,№ 4 Городенківський район
78,Рудко Василь Петрович,,№1 Богородчанський район
79,Свірідов Ігор Анатолійович,,№ 14 Тлумацький район
80,Секрета Євген Петрович,,№ 13 Тисменицький район
81,Сметаняк Орест Іванович,,№ 16 м. Болехів
82,Сташко Микола Степанович,,№1 Богородчанський район
83,Сухолиткий Микола Васильович,,№ 12 Снятинський район
84,Ткач Роман Володимирович,,№ 13 Тисменицький район
85,Ткачук Володимир Мар’янович,,№ 12 Снятинський район
86,Француз Анатолій Йосипович,,№ 19 м. Яремче
87,Цимбалістий Ярослав Григорович,,№ 14 Тлумацький район
88,Черник Степан Іванович,,№ 17 м. Калуш
89,Чир Нестор Іванович,,№9 Надвірнянський район
90,Шинкарук Ярослав Іванович,,№2 Верховинський район
91,Яворський Дмитро Васильович,,№ 19 м. Яремче
92,Яворський Михайло Іванович,,№ 14 Тлумацький район
93,Яківчук Ігор Михайлович,,№ 19 м. Яремче
94,Яковець Іван Іванович,,№ 14 Тлумацький район
95,Яремчук Ярослав Васильович,,№ 5 Долинський район
