number,name,about,okruh
1,Бардяк Мар’ян Мар’янович,,№ 11 Рожнятівський район (Рожнятівський в.о. № 42)
2,Березицький Богдан Адамович,,№9 Надвірнянський район (Надвірнянський в.о. № 35)
3,Білоус Володимир Михайлович,,№ 10 Рогатинський район (Рогатинський в.о. № 38)
4,Бойчук Михайло Михайлович,,№9 Надвірнянський район (Битківський в.о. № 36)
5,Борович Богдан Карлович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 3)
6,Василюк Лук’ян Петрович,,№2 Верховинський район (Верховинський в.о.№ 16)
7,Волощук Василь Іванович,,№ 4 Городенківський район (Чернятинський в.о. № 22)
8,Гірник Євген Олексійович,,№ 6 Калуський район (Войнилівський в.о.№ 27)
9,Гладуняк Дмитро Васильович,,№7 Коломийський район (Печеніжинський в.о. № 29)
10,Годованець Петро Васильович,,№7 Коломийський район (Отинійський в.о. № 28)
11,Голодюк Борис Борисович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 1)
12,Гончарук Роман Дмитрович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 6)
13,Гречаник Василь Петрович,,№8 Косівський район (Кутський в.о. № 32)
14,Досюк Василь Дмитрович,,№ 14 Тлумацький район (Тлумацький в.о. № 49)
15,Заграновський Ілля Васильович,,№ 12 Снятинський район (Заболотівський в.о. № 44)
16,Зварич Ігор Теодорович,,№ 13 Тисменицький район (Тисменицький в.о. № 47)
17,Ковалів Олександр Іванович,,№ 12 Снятинський район (Снятинський в.о. № 43)
18,Корчинський Віктор Олександрович,,№ 18 м. Коломия (Коломийський в.о. № 10)
19,Кричун Василь Федорович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 2)
20,Крук Василь Григорович,,№3 Галицький район (Галицький в.о. № 20)
21,Луцький Володимир Ярославович,,№ 5 Долинський район (Вигодський в.о. № 25)
22,Лучицький Роман Мирославович,,№ 4 Городенківський район (Чернятинський в.о. № 22)
23,Любко Андрій Романович,,№ 5 Долинський район (Долинський в.о. № 23)
24,Негрич Михайло Дмитрович,,№ 11 Рожнятівський район (Брошнівський в.о. № 40)
25,Неділенько Микола Васильович,,№ 15 м. Івано-Франківськ (Івано-Франківський в.о. № 5)
26,Олінійчук Микола Дмитрович,,№ 4 Городенківський район (Городенківський в.о. №21)
27,Остап’як Зіновій Михайлович,,№ 13 Тисменицький район (Лисецький в.о. № 46)
28,Паньків Ярослав Федорович,,№ 16 м. Болехів (Болехівський в.о. № 7)
29,Пархуць Михайло Степанович,,№3 Галицький район (Бурштинський в.о. № 18)
30,Петраш Іван Миколайович,,№1 Богородчанський район (Богородчанський в.о. № 13)
31,Петрина Мирон Іванович,,№ 11 Рожнятівський район (Перегінський в.о. № 41)
32,Петрів Ярема Васильович,,№ 5 Долинський район (Долинський в.о. № 24)
33,Попович Ігор Дмитрович,,№1 Богородчанський район (Солтвинський в.о.№ 14)
34,Притулінський Степан Петрович,,№2 Верховинський район (Устеріківський в.о. № 17)
35,Романенко Олег Миколайович,,№ 17 м. Калуш (Калуський в.о. № 9)
36,Симотюк Іван Дмитрович,,№ 18 м. Коломия (Коломийський в.о. № 11)
37,Сич Олександр Максимович,,№ 19 м. Яремче (Яремчанський в.о. № 12)
38,Скрипничук Василь Михайлович,,№1 Богородчанський район (Старунський в.о.№ 15)
39,Сушко Роман Васильович,,№ 17 м. Калуш (Калуський в.о. № 8)
40,Ткач Роман Володимирович,,№ 13 Тисменицький район (Єзупільський в.о. № 48)
41,Ткачук Василь Михайлович,,№7 Коломийський район (Гвіздецький в.о. № 30)
42,Фербей Микола Васильович,,№ 12 Снятинський район (Запрутянський в.о. № 45)
43,Хабайлюк Василь Михайлович,,№9 Надвірнянський район (Переріслянський в.о. № 34)
44,Хавлюк Богдан Федорович,,№3 Галицький район (Більшівцівський в.о. №19)
45,Ходан Михайло Михайлович,,№8 Косівський район (Косівськии в.о. № 31)
46,Хомин Ольга Григорівна,,№ 10 Рогатинський район (Конюшківський в.о. № 39)
47,Чир Нестор Іванович,,№9 Надвірнянський район (Делятинський в.о. № 37)
48,Шинкар Микола Григорович,,№ 6 Калуський район (Підмихайлівський в.о. № 26)
49,Шлемко Володимир Теофілович,,№8 Косівський район (Яблунівський в.о. № 33)
50,Яцишин Антон Іванович,,№ 14 Тлумацький район (Обертинський в.о. № 50)
